09/27/24 17:07:14			
			
Emission Current(mA)	Electron(eV)	Foucs(-V)	RF Set
20.5	3.18E-12		
20.6	2.59E-12		
20.7	1.47E-12		
20.8	6.81E-13		
21	3.90E-13		
21.1	3.36E-13		
21.2	3.25E-13		
21.3	3.33E-13		
21.4	3.44E-13		
21.5	3.44E-13		
21.6	3.53E-13		
21.7	3.58E-13		
21.8	3.86E-13		
21.9	4.81E-13		
22.1	6.13E-13		
22.2	7.82E-13		
22.3	9.81E-13		
22.4	1.19E-12		
22.5	1.29E-12		
22.6	1.25E-12		
22.7	1.02E-12		
22.8	6.32E-13		
22.9	3.40E-13		
23	2.66E-13		
23.2	2.46E-13		
23.3	2.44E-13		
23.4	2.47E-13		
23.5	2.39E-13		
23.6	2.45E-13		
23.7	2.43E-13		
23.8	2.40E-13		
23.9	2.41E-13		
24	2.43E-13		
24.1	2.34E-13		
24.3	2.44E-13		
24.4	2.40E-13		
24.5	2.44E-13		
24.6	2.43E-13		
24.7	2.43E-13		
24.8	2.43E-13		
24.9	2.46E-13		
25	2.42E-13		
25.1	2.44E-13		
25.2	2.42E-13		
25.4	2.44E-13		
25.5	2.42E-13		
25.6	2.36E-13		
25.7	2.38E-13		
25.8	2.46E-13		
25.9	2.40E-13		
26	2.49E-13		
26.1	2.45E-13		
26.2	2.39E-13		
26.3	2.44E-13		
26.4	2.46E-13		
26.6	2.47E-13		
26.7	2.43E-13		
26.8	2.43E-13		
26.9	2.45E-13		
27	2.46E-13		
27.1	2.50E-13		
27.2	2.53E-13		
27.3	2.54E-13		
27.4	2.52E-13		
27.5	2.61E-13		
27.7	2.68E-13		
27.8	2.78E-13		
27.9	3.07E-13		
28	3.53E-13		
28.1	4.13E-13		
28.2	4.67E-13		
28.3	5.04E-13		
28.4	5.29E-13		
28.5	5.00E-13		
28.6	4.37E-13		
28.8	3.57E-13		
28.9	3.43E-13		
29	2.87E-13		
29.1	2.48E-13		
29.2	2.50E-13		
29.3	2.54E-13		
29.4	2.55E-13		
29.5	2.51E-13		
29.6	2.51E-13		
29.7	2.53E-13		
29.9	2.43E-13		
30	2.46E-13		
30.1	2.50E-13		
30.2	2.44E-13		
30.3	2.41E-13		
30.4	2.47E-13		
30.5	2.41E-13		
30.6	2.47E-13		
30.7	2.44E-13		
30.8	2.43E-13		
31	2.38E-13		
31.1	2.39E-13		
31.2	2.49E-13		
31.3	2.45E-13		
31.4	2.41E-13		
31.5	2.40E-13		
31.6	2.44E-13		
31.7	2.49E-13		
31.8	2.48E-13		
31.9	2.72E-13		
32	2.93E-13		
32.2	3.11E-13		
32.3	3.21E-13		
32.4	3.28E-13		
32.5	3.20E-13		
32.6	3.21E-13		
32.7	3.01E-13		
32.8	2.74E-13		
32.9	2.46E-13		
33	2.45E-13		
33.1	2.43E-13		
33.3	2.38E-13		
33.4	2.31E-13		
33.5	2.37E-13		
33.6	2.36E-13		
33.7	2.34E-13		
33.8	2.36E-13		
33.9	2.36E-13		
34	2.33E-13		
34.1	2.39E-13		
34.2	2.39E-13		
34.4	2.37E-13		
34.5	2.38E-13		
34.6	2.32E-13		
34.7	2.37E-13		
34.8	2.35E-13		
34.9	2.42E-13		
35	2.43E-13		
35.1	2.34E-13		
35.2	2.38E-13		
35.3	2.39E-13		
35.5	2.38E-13		
35.6	2.41E-13		
35.7	2.31E-13		
35.8	2.45E-13		
35.9	2.39E-13		
36	2.38E-13		
36.1	2.39E-13		
36.2	2.41E-13		
36.3	2.35E-13		
36.4	2.42E-13		
36.5	2.44E-13		
36.7	2.41E-13		
36.8	2.39E-13		
36.9	2.41E-13		
37	2.42E-13		
37.1	2.39E-13		
37.2	2.38E-13		
37.3	2.39E-13		
37.4	2.34E-13		
37.5	2.42E-13		
37.6	2.41E-13		
37.8	2.41E-13		
37.9	2.39E-13		
38	2.37E-13		
38.1	2.39E-13		
38.2	2.40E-13		
38.3	2.45E-13		
38.4	2.37E-13		
38.5	2.40E-13		
38.6	2.40E-13		
38.7	2.38E-13		
38.9	2.44E-13		
39	2.34E-13		
39.1	2.36E-13		
39.2	2.44E-13		
39.3	2.40E-13		
39.4	2.37E-13		
39.5	2.45E-13		
39.6	2.42E-13		
39.7	2.40E-13		
39.8	2.52E-13		
40	2.47E-13		
40.1	2.46E-13		
40.2	2.57E-13		
40.3	2.64E-13		
40.4	2.74E-13		
40.5	2.81E-13		
40.6	2.99E-13		
40.7	2.98E-13		
40.8	2.96E-13		
40.9	2.87E-13		
41.1	2.58E-13		
41.2	2.51E-13		
41.3	2.38E-13		
41.4	2.42E-13		
41.5	2.42E-13		
41.6	2.45E-13		
41.7	2.46E-13		
41.8	2.41E-13		
41.9	2.44E-13		
42	2.42E-13		
42.1	2.41E-13		
42.3	2.45E-13		
42.4	2.45E-13		
42.5	2.38E-13		
42.6	2.38E-13		
42.7	2.37E-13		
42.8	2.35E-13		
42.9	2.40E-13		
43	2.37E-13		
43.1	2.38E-13		
43.2	2.39E-13		
43.4	2.41E-13		
43.5	2.40E-13		
43.6	2.47E-13		
43.7	2.38E-13		
43.8	2.49E-13		
43.9	2.43E-13		
44	2.48E-13		
44.1	2.49E-13		
44.2	2.43E-13		
44.3	2.59E-13		
44.5	2.63E-13		
44.6	2.63E-13		
44.7	2.67E-13		
44.8	2.74E-13		
44.9	2.77E-13		
45	2.65E-13		
45.1	2.60E-13		
45.2	2.49E-13		
45.3	2.42E-13		
45.4	2.46E-13		
45.6	2.33E-13		
45.7	2.41E-13		
45.8	2.38E-13		
45.9	2.39E-13		
46	2.37E-13		
46.1	2.41E-13		
46.2	2.42E-13		
46.3	2.31E-13		
46.4	2.39E-13		
46.5	2.38E-13		
46.6	2.39E-13		
46.8	2.37E-13		
46.9	2.41E-13		
47	2.44E-13		
47.1	2.37E-13		
47.2	2.38E-13		
47.3	2.42E-13		
47.4	2.41E-13		
47.5	2.39E-13		
47.6	2.38E-13		
47.7	2.37E-13		
47.9	2.36E-13		
48	2.41E-13		
48.1	2.43E-13		
48.2	2.36E-13		
48.3	2.34E-13		
48.4	2.35E-13		
48.5	2.30E-13		
48.6	2.32E-13		
48.7	2.36E-13		
48.8	2.32E-13		
49	2.34E-13		
49.1	2.43E-13		
49.2	2.40E-13		
49.3	2.32E-13		
49.4	2.42E-13		
49.5	2.33E-13		
49.6	2.36E-13		
49.7	2.30E-13		
49.8	2.39E-13		
49.9	2.43E-13		
50.1	2.41E-13		
50.2	2.41E-13		
50.3	2.34E-13		
50.4	2.41E-13		
50.5	2.30E-13		
50.6	2.39E-13		
50.7	2.36E-13		
50.8	2.40E-13		
50.9	2.39E-13		
51	2.34E-13		
51.2	2.39E-13		
51.3	2.35E-13		
51.4	2.35E-13		
51.5	2.36E-13		
51.6	2.40E-13		
51.7	2.38E-13		
51.8	2.41E-13		
51.9	2.43E-13		
52	2.38E-13		
52.1	2.41E-13		
52.2	2.35E-13		
52.4	2.36E-13		
52.5	2.37E-13		
52.6	2.41E-13		
52.7	2.30E-13		
52.8	2.38E-13		
52.9	2.43E-13		
53	2.37E-13		
53.1	2.32E-13		
53.2	2.38E-13		
53.3	2.37E-13		
53.5	2.42E-13		
53.6	2.46E-13		
53.7	2.32E-13		
53.8	2.36E-13		
53.9	2.31E-13		
54	2.35E-13		
54.1	2.41E-13		
54.2	2.38E-13		
54.3	2.39E-13		
54.4	2.30E-13		
54.6	2.32E-13		
54.7	2.41E-13		
54.8	2.32E-13		
54.9	2.39E-13		
55	2.39E-13		
55.1	2.41E-13		
55.2	2.39E-13		
55.3	2.42E-13		
55.4	2.50E-13		
55.5	2.45E-13		
55.7	2.44E-13		
55.8	2.50E-13		
55.9	2.47E-13		
56	2.53E-13		
56.1	2.51E-13		
56.2	2.51E-13		
56.3	2.47E-13		
56.4	2.44E-13		
56.5	2.53E-13		
56.6	2.42E-13		
56.8	2.44E-13		
56.9	2.43E-13		
57	2.45E-13		
57.1	2.44E-13		
57.2	2.48E-13		
57.3	2.51E-13		
57.4	2.53E-13		
57.5	2.48E-13		
57.6	2.51E-13		
57.7	2.44E-13		
57.8	2.44E-13		
58	2.40E-13		
58.1	2.43E-13		
58.2	2.51E-13		
58.3	2.40E-13		
58.4	2.47E-13		
58.5	2.51E-13		
58.6	2.42E-13		
58.7	2.47E-13		
58.8	2.46E-13		
58.9	2.49E-13		
59.1	2.43E-13		
59.2	2.40E-13		
59.3	2.44E-13		
59.4	2.39E-13		
59.5	2.42E-13		
59.6	2.46E-13		
59.7	2.40E-13		
59.8	2.43E-13		
59.9	2.49E-13		
60	2.41E-13		
60.2	2.46E-13		
60.3	2.44E-13		
60.4	2.50E-13		
60.5	2.46E-13		
60.6	2.47E-13		
60.7	2.45E-13		
60.8	2.47E-13		
60.9	2.39E-13		
61	2.41E-13		
61.1	2.43E-13		
61.3	2.47E-13		
61.4	2.47E-13		
61.5	2.52E-13		
61.6	2.44E-13		
61.7	2.46E-13		
61.8	2.41E-13		
61.9	2.47E-13		
62	2.51E-13		
62.1	2.40E-13		
62.2	2.47E-13		
62.3	2.42E-13		
62.5	2.36E-13		
62.6	2.48E-13		
62.7	2.36E-13		
62.8	2.43E-13		
62.9	2.44E-13		
63	2.40E-13		
63.1	2.39E-13		
63.2	2.41E-13		
63.3	2.42E-13		
63.4	2.43E-13		
63.6	2.40E-13		
63.7	2.48E-13		
63.8	2.43E-13		
63.9	2.48E-13		
64	2.48E-13		
64.1	2.47E-13		
64.2	2.44E-13		
64.3	2.47E-13		
64.4	2.48E-13		
64.5	2.45E-13		
64.7	2.54E-13		
64.8	2.44E-13		
64.9	2.42E-13		
65	2.42E-13		
65.1	2.44E-13		
65.2	2.47E-13		
65.3	2.44E-13		
65.4	2.40E-13		
65.5	2.45E-13		
65.6	2.42E-13		
65.8	2.46E-13		
65.9	2.43E-13		
66	2.45E-13		
66.1	2.41E-13		
66.2	2.44E-13		
66.3	2.45E-13		
66.4	2.49E-13		
66.5	2.47E-13		
66.6	2.43E-13		
66.7	2.49E-13		
66.9	2.49E-13		
67	2.46E-13		
67.1	2.48E-13		
67.2	2.39E-13		
67.3	2.44E-13		
67.4	2.47E-13		
67.5	2.38E-13		
67.6	2.43E-13		
67.7	2.42E-13		
67.8	2.44E-13		
67.9	2.42E-13		
68.1	2.47E-13		
68.2	2.43E-13		
68.3	2.48E-13		
68.4	2.42E-13		
68.5	2.43E-13		
68.6	2.47E-13		
68.7	2.43E-13		
68.8	2.41E-13		
68.9	2.45E-13		
69	2.38E-13		
69.2	2.40E-13		
69.3	2.47E-13		
69.4	2.41E-13		
69.5	2.44E-13		
69.6	2.47E-13		
69.7	2.45E-13		
69.8	2.48E-13		
69.9	2.47E-13		
70	2.48E-13		
70.1	2.42E-13		
70.3	2.35E-13		
70.4	2.39E-13		
70.5	2.41E-13		
70.6	2.45E-13		
70.7	2.44E-13		
70.8	2.49E-13		
70.9	2.44E-13		
71	2.45E-13		
71.1	2.43E-13		
71.2	2.42E-13		
71.4	2.42E-13		
71.5	2.40E-13		
71.6	2.43E-13		
71.7	2.38E-13		
71.8	2.43E-13		
71.9	2.46E-13		
72	2.49E-13		
72.1	2.45E-13		
72.2	2.49E-13		
72.3	2.45E-13		
72.5	2.47E-13		
72.6	2.47E-13		
72.7	2.46E-13		
72.8	2.42E-13		
72.9	2.36E-13		
73	2.46E-13		
73.1	2.48E-13		
73.2	2.37E-13		
73.3	2.42E-13		
73.4	2.43E-13		
73.5	2.42E-13		
73.7	2.42E-13		
73.8	2.47E-13		
73.9	2.43E-13		
74	2.39E-13		
74.1	2.41E-13		
74.2	2.43E-13		
74.3	2.48E-13		
74.4	2.41E-13		
74.5	2.45E-13		
74.6	2.36E-13		
74.8	2.45E-13		
74.9	2.37E-13		
75	2.43E-13		
75.1	2.50E-13		
75.2	2.39E-13		
75.3	2.43E-13		
75.4	2.41E-13		
75.5	2.45E-13		
75.6	2.48E-13		
75.7	2.39E-13		
75.9	2.43E-13		
76	2.49E-13		
76.1	2.48E-13		
76.2	2.41E-13		
76.3	2.43E-13		
76.4	2.50E-13		
76.5	2.45E-13		
76.6	2.40E-13		
76.7	2.46E-13		
76.8	2.43E-13		
77	2.52E-13		
77.1	2.45E-13		
77.2	2.45E-13		
77.3	2.38E-13		
77.4	2.38E-13		
77.5	2.41E-13		
77.6	2.43E-13		
77.7	2.43E-13		
77.8	2.42E-13		
77.9	2.44E-13		
78	2.41E-13		
78.2	2.39E-13		
78.3	2.38E-13		
78.4	2.45E-13		
78.5	2.44E-13		
78.6	2.41E-13		
78.7	2.42E-13		
78.8	2.42E-13		
78.9	2.48E-13		
79	2.41E-13		
79.1	2.37E-13		
79.3	2.39E-13		
79.4	2.47E-13		
79.5	2.48E-13		
79.6	2.48E-13		
79.7	2.46E-13		
79.8	2.37E-13		
79.9	2.36E-13		
80	2.47E-13		
80.1	2.44E-13		
80.2	2.39E-13		
80.4	2.39E-13		
80.5	2.45E-13		
80.6	2.40E-13		
80.7	2.40E-13		
80.8	2.38E-13		
80.9	2.44E-13		
81	2.42E-13		
81.1	2.46E-13		
81.2	2.39E-13		
81.3	2.43E-13		
81.5	2.52E-13		
81.6	2.44E-13		
81.7	2.47E-13		
81.8	2.42E-13		
81.9	2.44E-13		
82	2.39E-13		
82.1	2.39E-13		
82.2	2.38E-13		
82.3	2.41E-13		
82.4	2.42E-13		
82.6	2.38E-13		
82.7	2.40E-13		
82.8	2.44E-13		
82.9	2.38E-13		
83	2.47E-13		
83.1	2.51E-13		
83.2	2.48E-13		
83.3	2.45E-13		
83.4	2.43E-13		
83.5	2.44E-13		
83.6	2.39E-13		
83.8	2.40E-13		
83.9	2.41E-13		
84	2.47E-13		
84.1	2.51E-13		
84.2	2.51E-13		
84.3	2.40E-13		
84.4	2.44E-13		
84.5	2.38E-13		
84.6	2.47E-13		
84.7	2.46E-13		
84.9	2.44E-13		
85	2.35E-13		
85.1	2.46E-13		
85.2	2.39E-13		
85.3	2.44E-13		
85.4	2.50E-13		
85.5	2.51E-13		
85.6	2.43E-13		
85.7	2.40E-13		
85.8	2.44E-13		
86	2.41E-13		
86.1	2.44E-13		
86.2	2.44E-13		
86.3	2.43E-13		
86.4	2.43E-13		
86.5	2.41E-13		
86.6	2.43E-13		
86.7	2.45E-13		
86.8	2.40E-13		
86.9	2.45E-13		
87.1	2.37E-13		
87.2	2.49E-13		
87.3	2.42E-13		
87.4	2.40E-13		
87.5	2.39E-13		
87.6	2.45E-13		
87.7	2.44E-13		
87.8	2.38E-13		
87.9	2.42E-13		
88	2.42E-13		
88.2	2.46E-13		
88.3	2.45E-13		
88.4	2.40E-13		
88.5	2.38E-13		
88.6	2.38E-13		
88.7	2.53E-13		
88.8	2.42E-13		
88.9	2.47E-13		
89	2.43E-13		
89.1	2.45E-13		
89.2	2.44E-13		
89.4	2.46E-13		
89.5	2.41E-13		
89.6	2.43E-13		
89.7	2.47E-13		
89.8	2.43E-13		
89.9	2.37E-13		
90	2.45E-13		
90.1	2.45E-13		
90.2	2.41E-13		
90.3	2.40E-13		
90.5	2.43E-13		
90.6	2.43E-13		
90.7	2.40E-13		
90.8	2.37E-13		
90.9	2.47E-13		
91	2.41E-13		
91.1	2.48E-13		
91.2	2.46E-13		
91.3	2.37E-13		
91.4	2.52E-13		
91.6	2.42E-13		
91.7	2.41E-13		
91.8	2.44E-13		
91.9	2.40E-13		
92	2.37E-13		
92.1	2.47E-13		
92.2	2.46E-13		
92.3	2.43E-13		
92.4	2.36E-13		
92.5	2.40E-13		
92.7	2.39E-13		
92.8	2.42E-13		
92.9	2.34E-13		
93	2.44E-13		
93.1	2.45E-13		
93.2	2.42E-13		
93.3	2.43E-13		
93.4	2.42E-13		
93.5	2.45E-13		
93.6	2.47E-13		
93.7	2.40E-13		
93.9	2.45E-13		
94	2.45E-13		
94.1	2.42E-13		
94.2	2.44E-13		
94.3	2.44E-13		
94.4	2.44E-13		
94.5	2.37E-13		
94.6	2.41E-13		
94.7	2.44E-13		
94.8	2.48E-13		
95	2.49E-13		
95.1	2.42E-13		
95.2	2.43E-13		
95.3	2.48E-13		
95.4	2.45E-13		
95.5	2.42E-13		
95.6	2.41E-13		
95.7	2.49E-13		
95.8	2.46E-13		
95.9	2.52E-13		
96.1	2.46E-13		
96.2	2.39E-13		
96.3	2.43E-13		
96.4	2.40E-13		
96.5	2.44E-13		
96.6	2.42E-13		
96.7	2.50E-13		
96.8	2.39E-13		
96.9	2.42E-13		
97	2.43E-13		
97.2	2.46E-13		
97.3	2.35E-13		
97.4	2.49E-13		
97.5	2.45E-13		
97.6	2.49E-13		
97.7	2.37E-13		
97.8	2.41E-13		
97.9	2.44E-13		
98	2.41E-13		
98.1	2.36E-13		
98.3	2.37E-13		
98.4	2.40E-13		
98.5	2.43E-13		
98.6	2.49E-13		
98.7	2.43E-13		
98.8	2.43E-13		
98.9	2.45E-13		
99	2.43E-13		
99.1	2.39E-13		
99.2	2.42E-13		
99.3	2.39E-13		
99.5	2.35E-13		
99.6	2.34E-13		
99.7	2.47E-13		
99.8	2.39E-13		
99.9	2.37E-13		
100	2.43E-13		
100.1	2.47E-13		
100.2	2.38E-13		
100.3	2.42E-13		
100.4	2.36E-13		
100.6	2.44E-13		
100.7	2.40E-13		
100.8	2.38E-13		
100.9	2.42E-13		
101	2.45E-13		
101.1	2.42E-13		
101.2	2.40E-13		
101.3	2.43E-13		
101.4	2.44E-13		
101.5	2.43E-13		
101.7	2.40E-13		
101.8	2.41E-13		
101.9	2.28E-13		
102	2.43E-13		
102.1	2.49E-13		
102.2	2.40E-13		
102.3	2.40E-13		
102.4	2.41E-13		
102.5	2.42E-13		
102.6	2.37E-13		
102.8	2.43E-13		
102.9	2.43E-13		
103	2.44E-13		
103.1	2.43E-13		
103.2	2.40E-13		
103.3	2.43E-13		
103.4	2.49E-13		
103.5	2.42E-13		
103.6	2.44E-13		
103.7	2.40E-13		
103.9	2.41E-13		
104	2.41E-13		
104.1	2.40E-13		
104.2	2.40E-13		
104.3	2.38E-13		
104.4	2.40E-13		
104.5	2.47E-13		
104.6	2.42E-13		
104.7	2.39E-13		
104.8	2.43E-13		
104.9	2.37E-13		
105.1	2.39E-13		
105.2	2.41E-13		
105.3	2.42E-13		
105.4	2.42E-13		
105.5	2.41E-13		
105.6	2.37E-13		
105.7	2.39E-13		
105.8	2.40E-13		
105.9	2.51E-13		
106	0.00E+00		
106.2	0.00E+00		
106.3	0.00E+00		
106.4	0.00E+00		
106.5	0.00E+00		
106.6	0.00E+00		
106.7	0.00E+00		
106.8	0.00E+00		
106.9	0.00E+00		
107	0.00E+00		
107.1	0.00E+00		
107.3	0.00E+00		
107.4	0.00E+00		
107.5	0.00E+00		
107.6	0.00E+00		
107.7	0.00E+00		
107.8	0.00E+00		
107.9	0.00E+00		
108	0.00E+00		
108.1	0.00E+00		
108.2	0.00E+00		
108.4	0.00E+00		
108.5	0.00E+00		
108.6	0.00E+00		
108.7	0.00E+00		
108.8	0.00E+00		
108.9	0.00E+00		
109	0.00E+00		
109.1	0.00E+00		
109.2	0.00E+00		
109.3	0.00E+00		
109.4	0.00E+00		
109.6	0.00E+00		
109.7	0.00E+00		
109.8	0.00E+00		
109.9	0.00E+00		
110	0.00E+00		
110.1	0.00E+00		
110.2	0.00E+00		
110.3	0.00E+00		
110.4	0.00E+00		
110.5	0.00E+00		
110.7	0.00E+00		
110.8	0.00E+00		
110.9	0.00E+00		
111	0.00E+00		
111.1	0.00E+00		
111.2	0.00E+00		
111.3	0.00E+00		
111.4	0.00E+00		
111.5	0.00E+00		
111.6	0.00E+00		
111.8	0.00E+00		
111.9	0.00E+00		
112	0.00E+00		
112.1	0.00E+00		
112.2	0.00E+00		
112.3	0.00E+00		
112.4	0.00E+00		
112.5	0.00E+00		
112.6	0.00E+00		
112.7	0.00E+00		
112.9	0.00E+00		
113	0.00E+00		
113.1	0.00E+00		
113.2	0.00E+00		
113.3	0.00E+00		
113.4	0.00E+00		
113.5	0.00E+00		
113.6	0.00E+00		
113.7	0.00E+00		
113.8	0.00E+00		
114	0.00E+00		
114.1	0.00E+00		
114.2	0.00E+00		
114.3	0.00E+00		
114.4	0.00E+00		
114.5	0.00E+00		
114.6	0.00E+00		
114.7	0.00E+00		
114.8	0.00E+00		
114.9	0.00E+00		
115	0.00E+00		
115.2	0.00E+00		
115.3	0.00E+00		
115.4	0.00E+00		
115.5	0.00E+00		
115.6	0.00E+00		
